category,file,roadRatio,asphaltRatio,indoorFloorRatio,woodPanelRatio,verticalStructureRatio,skyBandRatio,highSaturationRatio,circularVesselScore,horizontalRoadLineScore,skinRatio,vegetationRatio,animalFurRatio,foodOrObjectColorRatio,rectFrameLikelihood,flatScreenLikelihood,saturatedNonRoadRatio,brightCircleRingScore,uniformWallScore,leafyTextureScore,passClose,failureReason
Cement pipelines,IMG20260524154003.jpg,0.4718,0.3829,0.0455,0.1256,0.2290,0.3526,0.1302,0.5202,0.4298,0.0411,0.2118,0.0206,0.0613,1.0000,0.4271,0.0613,0.1801,0.0000,1.0000,true,
Cement pipelines,IMG20260524154006.jpg,0.4684,0.3833,0.0380,0.1535,0.2751,0.2346,0.1383,0.0596,0.3881,0.0538,0.1763,0.0201,0.0685,1.0000,0.4216,0.0685,0.7365,0.0000,1.0000,true,
Cement pipelines,IMG20260524154043.jpg,0.4695,0.3756,0.0519,0.3013,0.2660,0.1682,0.0619,0.1553,0.4393,0.0139,0.0114,0.0199,0.1752,0.2167,0.4498,0.1752,0.3303,0.0000,1.0000,true,
Cement pipelines,IMG20260524154107.jpg,0.4209,0.3482,0.0762,0.2444,0.2749,0.3688,0.0621,0.3015,0.4673,0.0077,0.0662,0.0079,0.0793,0.6667,0.2840,0.0793,0.4091,0.0000,1.0000,true,
Cement pipelines,IMG20260524154309.jpg,0.3418,0.2203,0.0189,0.2284,0.3293,0.2245,0.1175,0.2485,0.3875,0.0141,0.2078,0.0191,0.1165,1.0000,0.4000,0.1165,0.5433,0.0000,1.0000,true,
Cement pipelines,IMG20260524154311.jpg,0.2234,0.1370,0.1669,0.3125,0.3237,0.7407,0.0708,0.1187,0.2810,0.0181,0.1520,0.0243,0.0577,0.3000,0.4000,0.0577,0.5508,0.0000,1.0000,false,scene:wood-panel
Cement pipelines,IMG20260524154313.jpg,0.3241,0.2209,0.0129,0.2186,0.3796,0.0995,0.1644,0.1335,0.2327,0.0961,0.1246,0.0241,0.1528,1.0000,0.4110,0.1528,0.5949,0.0000,1.0000,true,
Cement pipelines,IMG20260524154319.jpg,0.3193,0.2238,0.0395,0.3050,0.3497,0.2608,0.1474,0.0751,0.3833,0.0490,0.1742,0.0110,0.1040,1.0000,0.4295,0.1040,0.7825,0.0000,1.0000,true,
Cement pipelines,IMG20260524154320.jpg,0.3169,0.2382,0.0938,0.3451,0.3183,0.4776,0.0901,0.0976,0.4292,0.0434,0.1456,0.0120,0.0610,1.0000,0.4000,0.0610,0.5479,0.0000,1.0000,true,
Cement pipelines,IMG20260524154321.jpg,0.2193,0.1559,0.2554,0.2897,0.3083,0.8117,0.0839,0.3138,0.2387,0.0110,0.1314,0.0118,0.0650,0.5667,0.4000,0.0650,0.5105,0.0000,1.0000,false,scene:wood-panel
Cement pipelines,IMG20260524154323.jpg,0.4130,0.3519,0.1213,0.2039,0.3580,0.7384,0.0887,0.2546,0.2917,0.0513,0.0880,0.0586,0.0716,0.1333,0.3855,0.0716,0.4110,0.0000,1.0000,true,
Cement pipelines,IMG20260524154353.jpg,0.3173,0.2691,0.1458,0.0924,0.3474,0.2153,0.1368,0.2936,0.2161,0.0216,0.2249,0.0098,0.0353,0.4000,0.4000,0.0353,0.5358,0.0000,1.0000,true,
Cement pipelines,IMG20260524154355.jpg,0.3945,0.3030,0.0413,0.1157,0.3204,0.2238,0.1790,0.1260,0.3500,0.0673,0.1790,0.0305,0.1186,1.0000,0.4000,0.1186,0.6454,0.0000,1.0000,true,
Cement pipelines,IMG20260524154359.jpg,0.3692,0.2963,0.0691,0.2159,0.3661,0.3302,0.1333,0.1180,0.3250,0.0183,0.1904,0.0110,0.0696,1.0000,0.4000,0.0696,0.6792,0.0000,1.0000,true,
Cement pipelines,IMG20260524154402.jpg,0.3382,0.2627,0.0710,0.2195,0.3625,0.2948,0.1348,0.1867,0.3607,0.0307,0.1613,0.0253,0.0874,1.0000,0.4000,0.0874,0.7580,0.0000,1.0000,true,
Cement pipelines,IMG20260524154933.jpg,0.4105,0.3071,0.1385,0.2240,0.3546,0.4028,0.0515,0.3441,0.3167,0.0160,0.0907,0.0122,0.0496,0.7333,0.2849,0.0496,0.3988,0.0000,1.0000,true,
Cement pipelines,IMG20260524154936.jpg,0.3953,0.2969,0.0446,0.1030,0.3974,0.1049,0.1653,0.4353,0.2750,0.0351,0.2261,0.0139,0.0449,0.5500,0.4000,0.0449,0.4569,0.0000,1.0000,true,
Garbage,IMG20260524154933.jpg,0.4105,0.3071,0.1385,0.2240,0.3546,0.4028,0.0515,0.3441,0.3167,0.0160,0.0907,0.0122,0.0496,0.7333,0.2849,0.0496,0.3988,0.0000,1.0000,true,
Garbage,IMG20260524154936.jpg,0.3953,0.2969,0.0446,0.1030,0.3974,0.1049,0.1653,0.4353,0.2750,0.0351,0.2261,0.0139,0.0449,0.5500,0.4000,0.0449,0.4569,0.0000,1.0000,true,
Manhole,IMG20260523161928.jpg,0.6622,0.6532,0.1233,0.1655,0.2903,0.3086,0.0017,0.0000,0.4226,0.0285,0.0008,0.0023,0.0021,0.7333,0.3188,0.0021,0.8903,0.1860,1.0000,true,
Manhole,IMG20260523162123.jpg,0.5916,0.5843,0.2894,0.0050,0.2757,0.2168,0.0000,0.0570,0.4107,0.0071,0.0000,0.0004,0.0000,0.2667,0.4050,0.0000,0.5650,0.3307,1.0000,true,
Manhole,IMG20260523162757.jpg,0.4823,0.4743,0.4005,0.0139,0.2988,0.2623,0.0008,0.0000,0.4036,0.0060,0.0000,0.0010,0.0010,0.7500,0.3522,0.0010,0.9091,0.2669,1.0000,true,
Manhole,IMG20260523162927.jpg,0.6674,0.6628,0.1076,0.1412,0.3274,0.6821,0.0287,0.0318,0.3976,0.0039,0.0069,0.0010,0.0266,1.0000,0.3305,0.0266,0.6794,0.1738,1.0000,true,
Manhole,IMG20260523164118.jpg,0.6136,0.6105,0.1917,0.1051,0.3322,0.4522,0.0027,0.0354,0.3690,0.0039,0.0000,0.0004,0.0039,0.6333,0.2583,0.0039,0.6878,0.1599,1.0000,true,
Manhole,IMG20260524134052.jpg,0.5581,0.5029,0.0421,0.1709,0.3499,0.0062,0.0091,0.0210,0.3536,0.0164,0.0285,0.0027,0.0114,0.9833,0.1219,0.0114,0.8575,0.0000,1.0000,true,
Manhole,IMG20260524154600.jpg,0.4869,0.4392,0.1233,0.1744,0.3850,0.2384,0.0855,0.0066,0.3244,0.0320,0.0575,0.0056,0.0577,0.7833,0.3609,0.0577,0.7881,0.0066,1.0000,true,
Manhole,IMG20260524154736.jpg,0.7149,0.5889,0.0264,0.0993,0.3347,0.0494,0.0135,0.0210,0.3613,0.0328,0.0095,0.0071,0.0118,1.0000,0.2639,0.0118,0.7262,0.0971,1.0000,true,
Road blockers,IMG20260524154643.jpg,0.4010,0.3002,0.0748,0.1433,0.3771,0.3866,0.1372,0.1960,0.3542,0.2658,0.0498,0.0295,0.1501,1.0000,0.4000,0.1501,0.4757,0.0000,1.0000,true,
Road blockers,IMG20260524154710.jpg,0.3505,0.2936,0.1181,0.0557,0.3858,0.0332,0.1971,0.2867,0.2720,0.0255,0.0976,0.0096,0.1690,1.0000,0.4000,0.1690,0.5208,0.0000,1.0000,true,
Sign board,IMG20260524154509.jpg,0.3056,0.2257,0.0419,0.2413,0.3841,0.2160,0.1582,0.0827,0.3524,0.0253,0.1723,0.0266,0.0754,1.0000,0.4000,0.0754,0.7345,0.0000,1.0000,true,
Sign board,IMG20260524154835.jpg,0.3436,0.2656,0.0816,0.2845,0.3320,0.1389,0.0804,0.1945,0.3571,0.0442,0.0943,0.0110,0.0781,1.0000,0.3790,0.0781,0.4916,0.0000,1.0000,true,
Sign board,IMG20260524154837.jpg,0.3364,0.2458,0.0546,0.3505,0.3609,0.2840,0.0623,0.2278,0.3589,0.0673,0.0810,0.0123,0.0787,1.0000,0.4000,0.0787,0.4813,0.0000,1.0000,true,
Tress,IMG20260524154040.jpg,0.4558,0.3295,0.0295,0.1626,0.2654,0.1373,0.1680,0.0472,0.4280,0.1424,0.0968,0.0421,0.1125,1.0000,0.4609,0.1125,0.8611,0.0000,1.0000,true,
Tress,IMG20260524154113.jpg,0.4587,0.3517,0.0324,0.2097,0.2971,0.2052,0.1435,0.1285,0.4232,0.1410,0.0581,0.0469,0.1244,1.0000,0.4722,0.1244,0.6932,0.0000,1.0000,true,
Tress,IMG20260524154156.jpg,0.4269,0.3376,0.0907,0.1497,0.2978,0.9020,0.1385,0.2549,0.3643,0.0203,0.0893,0.0068,0.1264,0.0000,0.3972,0.1264,0.3903,0.0000,1.0000,true,
Tress,IMG20260524154159.jpg,0.3042,0.2776,0.3081,0.1468,0.2398,1.0000,0.0197,0.7265,0.2815,0.0006,0.0131,0.0108,0.0270,0.0000,0.2435,0.0270,0.1838,0.0000,1.0000,false,scene:circular-bin
Tress,IMG20260524154201.jpg,0.6196,0.2811,0.0102,0.0801,0.2652,0.9985,0.0822,0.3851,0.3238,0.0131,0.0656,0.0220,0.0611,0.0000,0.2389,0.0611,0.4756,0.0000,1.0000,true,
Tress,IMG20260524154205.jpg,0.3314,0.2326,0.0274,0.2066,0.3364,0.0440,0.1738,0.3421,0.4012,0.0266,0.1692,0.0129,0.1181,1.0000,0.4189,0.1181,0.3040,0.0000,1.0000,true,
Wall boundaries,IMG20260524153819.jpg,0.4873,0.4317,0.1439,0.1669,0.3227,0.1975,0.0708,0.2184,0.3399,0.0446,0.0629,0.0168,0.0349,0.8000,0.3483,0.0349,0.4899,0.0000,1.0000,true,
Wall boundaries,IMG20260524153823.jpg,0.4470,0.4126,0.2170,0.1441,0.2670,0.2253,0.0604,0.0052,0.3786,0.0083,0.0864,0.0060,0.0274,1.0000,0.2747,0.0274,0.8724,0.0000,1.0000,true,
Wall boundaries,IMG20260524153830.jpg,0.5210,0.4639,0.0650,0.1593,0.3094,0.0741,0.0461,0.0000,0.3554,0.0401,0.0311,0.0125,0.0363,0.9000,0.2370,0.0363,0.9409,0.0000,1.0000,true,
Wall boundaries,IMG20260524153901.jpg,0.5247,0.4539,0.0837,0.2473,0.2448,0.3773,0.0550,0.4694,0.4661,0.0187,0.0579,0.0069,0.0573,0.6500,0.3012,0.0573,0.3190,0.0000,1.0000,true,
Wall boundaries,IMG20260524153905.jpg,0.5422,0.4815,0.0851,0.1572,0.2595,0.3681,0.0685,0.4496,0.4298,0.0143,0.0679,0.0060,0.0685,0.6167,0.2538,0.0685,0.3434,0.0000,1.0000,true,
Wall boundaries,IMG20260524153910.jpg,0.5112,0.4223,0.0135,0.2500,0.2402,0.3580,0.0735,0.3494,0.4851,0.0152,0.2442,0.0027,0.0368,1.0000,0.3852,0.0368,0.4353,0.0000,1.0000,true,
Wall boundaries,IMG20260524154010.jpg,0.5299,0.3953,0.0249,0.0683,0.2070,0.5201,0.1252,0.3025,0.4232,0.1360,0.2201,0.0307,0.0502,0.3500,0.4035,0.0502,0.3707,0.0000,1.0000,true,
Wall boundaries,IMG20260524154037.jpg,0.4844,0.3038,0.0222,0.2384,0.2978,0.0448,0.1019,0.3095,0.4536,0.3081,0.0324,0.0262,0.0611,1.0000,0.4515,0.0611,0.5087,0.0000,1.0000,true,
Wall boundaries,IMG20260524154040.jpg,0.4558,0.3295,0.0295,0.1626,0.2654,0.1373,0.1680,0.0472,0.4280,0.1424,0.0968,0.0421,0.1125,1.0000,0.4609,0.1125,0.8611,0.0000,1.0000,true,
Wall boundaries,IMG20260524154110.jpg,0.4890,0.4035,0.0332,0.3084,0.3048,0.0710,0.0544,0.2303,0.4167,0.1165,0.0176,0.0386,0.0613,1.0000,0.5043,0.0613,0.5227,0.0047,1.0000,true,
Wall boundaries,IMG20260524154113.jpg,0.4587,0.3517,0.0324,0.2097,0.2971,0.2052,0.1435,0.1285,0.4232,0.1410,0.0581,0.0469,0.1244,1.0000,0.4722,0.1244,0.6932,0.0000,1.0000,true,
Wall boundaries,IMG20260524154201.jpg,0.6196,0.2811,0.0102,0.0801,0.2652,0.9985,0.0822,0.3851,0.3238,0.0131,0.0656,0.0220,0.0611,0.0000,0.2389,0.0611,0.4756,0.0000,1.0000,true,
Wall boundaries,IMG20260524154205.jpg,0.3314,0.2326,0.0274,0.2066,0.3364,0.0440,0.1738,0.3421,0.4012,0.0266,0.1692,0.0129,0.1181,1.0000,0.4189,0.1181,0.3040,0.0000,1.0000,true,
Wall boundaries,IMG20260524154837.jpg,0.3364,0.2458,0.0546,0.3505,0.3609,0.2840,0.0623,0.2278,0.3589,0.0673,0.0810,0.0123,0.0787,1.0000,0.4000,0.0787,0.4813,0.0000,1.0000,true,
Wall boundaries,IMG20260524154841.jpg,0.3619,0.2822,0.0573,0.3723,0.3675,0.2346,0.0747,0.0977,0.3179,0.0453,0.0660,0.0378,0.0870,1.0000,0.4406,0.0870,0.5555,0.0000,1.0000,true,
